# @generated by tools/gen_codepages.sh — DO NOT EDIT BY HAND.
# Independent MFIC oracle for src/core/codepages.zig + encoding.zig toUtf8 tables.
# Source: GNU/Apple iconv (-f CHARSET -t UTF-32BE), all 256 bytes per charset.
# Columns: CHARSET<TAB>BYTE(hex)<TAB>CODEPOINT(hex, FFFD = undefined/invalid).
# The codepages.zig tables are written from Unicode MAPPINGS (VISCII via perl
# Encode); this file is iconv's independent view. encoding_test asserts they
# agree per byte. iconv vs MAPPINGS agreed on all cells at generation (0 div).
ISO-8859-3	0F	000F
ISO-8859-3	10	0010
ISO-8859-3	11	0011
ISO-8859-3	12	0012
ISO-8859-3	13	0013
ISO-8859-3	14	0014
ISO-8859-3	15	0015
ISO-8859-3	16	0016
ISO-8859-3	17	0017
ISO-8859-3	18	0018
ISO-8859-3	19	0019
ISO-8859-3	1A	001A
ISO-8859-3	1B	001B
ISO-8859-3	1C	001C
ISO-8859-3	1D	001D
ISO-8859-3	1E	001E
ISO-8859-3	1F	001F
ISO-8859-3	20	0020
ISO-8859-3	21	0021
ISO-8859-3	22	0022
ISO-8859-3	23	0023
ISO-8859-3	24	0024
ISO-8859-3	25	0025
ISO-8859-3	26	0026
ISO-8859-3	27	0027
ISO-8859-3	28	0028
ISO-8859-3	29	0029
ISO-8859-3	2A	002A
ISO-8859-3	2B	002B
ISO-8859-3	2C	002C
ISO-8859-3	2D	002D
ISO-8859-3	2E	002E
ISO-8859-3	2F	002F
ISO-8859-3	30	0030
ISO-8859-3	31	0031
ISO-8859-3	32	0032
ISO-8859-3	33	0033
ISO-8859-3	34	0034
ISO-8859-3	35	0035
ISO-8859-3	36	0036
ISO-8859-3	37	0037
ISO-8859-3	38	0038
ISO-8859-3	39	0039
ISO-8859-3	3A	003A
ISO-8859-3	3B	003B
ISO-8859-3	3C	003C
ISO-8859-3	3D	003D
ISO-8859-3	3E	003E
ISO-8859-3	3F	003F
ISO-8859-3	40	0040
ISO-8859-3	41	0041
ISO-8859-3	42	0042
ISO-8859-3	43	0043
ISO-8859-3	44	0044
ISO-8859-3	45	0045
ISO-8859-3	46	0046
ISO-8859-3	47	0047
ISO-8859-3	48	0048
ISO-8859-3	49	0049
ISO-8859-3	4A	004A
ISO-8859-3	4B	004B
ISO-8859-3	4C	004C
ISO-8859-3	4D	004D
ISO-8859-3	4E	004E
ISO-8859-3	4F	004F
ISO-8859-3	50	0050
ISO-8859-3	51	0051
ISO-8859-3	52	0052
ISO-8859-3	53	0053
ISO-8859-3	54	0054
ISO-8859-3	55	0055
ISO-8859-3	56	0056
ISO-8859-3	57	0057
ISO-8859-3	58	0058
ISO-8859-3	59	0059
ISO-8859-3	5A	005A
ISO-8859-3	5B	005B
ISO-8859-3	5C	005C
ISO-8859-3	5D	005D
ISO-8859-3	5E	005E
ISO-8859-3	5F	005F
ISO-8859-3	60	0060
ISO-8859-3	61	0061
ISO-8859-3	62	0062
ISO-8859-3	63	0063
ISO-8859-3	64	0064
ISO-8859-3	65	0065
ISO-8859-3	66	0066
ISO-8859-3	67	0067
ISO-8859-3	68	0068
ISO-8859-3	69	0069
ISO-8859-3	6A	006A
ISO-8859-3	6B	006B
ISO-8859-3	6C	006C
ISO-8859-3	6D	006D
ISO-8859-3	6E	006E
ISO-8859-3	6F	006F
ISO-8859-3	70	0070
ISO-8859-3	71	0071
ISO-8859-3	72	0072
ISO-8859-3	73	0073
ISO-8859-3	74	0074
ISO-8859-3	75	0075
ISO-8859-3	76	0076
ISO-8859-3	77	0077
ISO-8859-3	78	0078
ISO-8859-3	79	0079
ISO-8859-3	7A	007A
ISO-8859-3	7B	007B
ISO-8859-3	7C	007C
ISO-8859-3	7D	007D
ISO-8859-3	7E	007E
ISO-8859-3	7F	007F
ISO-8859-3	80	0080
ISO-8859-3	81	0081
ISO-8859-3	82	0082
ISO-8859-3	83	0083
ISO-8859-3	84	0084
ISO-8859-3	85	0085
ISO-8859-3	86	0086
ISO-8859-3	87	0087
ISO-8859-3	88	0088
ISO-8859-3	89	0089
ISO-8859-3	8A	008A
ISO-8859-3	8B	008B
ISO-8859-3	8C	008C
ISO-8859-3	8D	008D
ISO-8859-3	8E	008E
ISO-8859-3	8F	008F
ISO-8859-3	90	0090
ISO-8859-3	91	0091
ISO-8859-3	92	0092
ISO-8859-3	93	0093
ISO-8859-3	94	0094
ISO-8859-3	95	0095
ISO-8859-3	96	0096
ISO-8859-3	97	0097
ISO-8859-3	98	0098
ISO-8859-3	99	0099
ISO-8859-3	9A	009A
ISO-8859-3	9B	009B
ISO-8859-3	9C	009C
ISO-8859-3	9D	009D
ISO-8859-3	9E	009E
ISO-8859-3	9F	009F
ISO-8859-3	A0	00A0
ISO-8859-3	A1	0126
ISO-8859-3	A2	02D8
ISO-8859-3	A3	00A3
ISO-8859-3	A4	00A4
ISO-8859-3	A5	FFFD
ISO-8859-3	A6	0124
ISO-8859-3	A7	00A7
ISO-8859-3	A8	00A8
ISO-8859-3	A9	0130
ISO-8859-3	AA	015E
ISO-8859-3	AB	011E
ISO-8859-3	AC	0134
ISO-8859-3	AD	00AD
ISO-8859-3	AE	FFFD
ISO-8859-3	AF	017B
ISO-8859-3	B0	00B0
ISO-8859-3	B1	0127
ISO-8859-3	B2	00B2
ISO-8859-3	B3	00B3
ISO-8859-3	B4	00B4
ISO-8859-3	B5	00B5
ISO-8859-3	B6	0125
ISO-8859-3	B7	00B7
